image,path,srie_time_s,srie_iters,srie_mae_V_recon,srie_clip_ratio,srie_niqe,ng26_time_s,ng26_iters,ng26_mae_V_recon,ng26_clip_ratio,ng26_niqe,delta_niqe_srie_minus_ng26,delta_time_srie_minus_ng26,delta_maeV_srie_minus_ng26,delta_clip_srie_minus_ng26
2015_00001.png,./images_test/2015_00001.png,24.997295786999985,300.0,0.0008748162266706816,0.004903111111111111,3.9803331763865235,36.05798863300015,120.0,8.587762501122143e-09,0.004965333333333334,3.528835294008422,0.4514978823781015,-11.060692846000165,0.0008748076389081805,-6.222222222222306e-05
2015_00002.png,./images_test/2015_00002.png,23.493028825999772,283.0,0.0023684354284303835,0.05357380254154448,5.356746280650974,39.65081994399998,120.0,1.4888516197686386e-08,0.05366764418377322,5.326057279552293,0.03068900109868089,-16.157791118000205,0.002368420539914186,-9.38416422287397e-05
2015_00003.png,./images_test/2015_00003.png,18.339795782999772,228.0,0.0005364881188335949,0.010044444444444444,5.729236847760716,38.03872767699977,120.0,6.32351015994459e-09,0.010176,4.627020974577589,1.1022158731831269,-19.698931893999998,0.0005364817953234349,-0.0001315555555555549
2015_00004.jpg,./images_test/2015_00004.jpg,28.67485974300007,300.0,0.0001548815663765969,0.0636111111111111,3.660410788218018,47.14719822100005,120.0,2.842037272188236e-09,0.06364149305555555,3.7948893378156763,-0.13447854959765815,-18.472338477999983,0.00015487872433932472,-3.0381944444449194e-05
2015_00005.jpg,./images_test/2015_00005.jpg,16.35363749699991,192.0,0.0008040433745617444,0.0,3.46235373698927,54.58709684500036,120.0,7.646374200476203e-09,8.408408408408409e-05,3.4497550708272056,0.012598666162064287,-38.23345934800045,0.0008040357281875439,-8.408408408408409e-05
2015_00006.jpg,./images_test/2015_00006.jpg,23.883123235999847,273.0,0.0024523605350057825,0.09310755555555555,4.164747019168827,35.88994349599989,120.0,1.800124316275742e-08,0.09326933333333333,4.947842418206552,-0.783095399037725,-12.00682026000004,0.0024523425337626198,-0.00016177777777777458
2015_00007.jpg,./images_test/2015_00007.jpg,16.47811409499991,197.0,0.000808613148241318,0.005147147147147147,6.492548824716456,40.620630132000315,120.0,9.501473385853387e-09,0.005147147147147147,8.062586352207463,-1.5700375274910066,-24.142516037000405,0.0008086036467679321,0.0
2015_00008.jpg,./images_test/2015_00008.jpg,26.886919911999485,300.0,0.0012237802453582622,0.008664664664664664,4.4729483983584455,43.518999685999916,120.0,1.1442682357198919e-08,0.008914914914914914,4.297632963968529,0.17531543438991637,-16.63207977400043,0.001223768802675905,-0.0002502502502502498
2015_00010.jpg,./images_test/2015_00010.jpg,47.620143485999506,252.0,0.00018822737628166876,0.01416886359739369,2.9392604389678865,104.59392356099943,120.0,4.414467458246918e-09,0.014262635030864198,2.9867332432546214,-0.04747280428673495,-56.97378007499992,0.0001882229618142105,-9.377143347050719e-05
2015_00011.jpg,./images_test/2015_00011.jpg,89.49241162999988,300.0,0.00048722002821302584,0.0002848307291666667,5.201095827917449,190.6827554219999,120.0,8.20880519114553e-09,0.0010138617621527778,5.390032005738852,-0.18893617782140293,-101.19034379200002,0.0004872118194078347,-0.000729031032986111
MEAN,,31.621932999499812,262.5,0.000989886604797306,0.02535055309021389,4.5459681339134566,63.07880836169998,120.0,9.185687188661973e-09,0.025514244684515863,4.64113849401572,-0.09517036010226376,-31.45687536220016,0.0009898774191101172,-0.00016369159430196936
STD,,21.082613620773394,40.88581661163196,0.0007728328966933394,0.030961873298850296,1.0623747290703467,46.759372001617336,0.0,4.3624513764482386e-09,0.030916806884674644,1.3805191258928267,0.6703941755149916,26.773650981106556,0.0007728286926416642,0.00019977615077135867
